ISO,Year,suicideRateTotal,suicideRateMale,suicideRateFemale,unemploymentPTotal,unemploymentPMale,unemploymentPFemale,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,WineConsumption,SpiritsConsumption,BeerConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,incomeLevel,GrossNationalIncome
IT,2019,4.33,6.72,2.08,9.95,9.10,11.10,1295.61,1097.57,0.98,35.93,28.6961,33089.57,7.65,4.83,0.83,1.99,20.10,5.978,3.798,2.591,23.492,3,34860
JM,2019,2.28,3.63,1.00,7.72,5.83,9.94,369.14,241.63,0.45,45.46,34.8624,5369.49,3.46,0.25,1.66,1.19,19.90,1.149,0.383,0.453,10.272,2,5260
JO,2019,1.98,3.03,0.93,16.85,15.29,23.81,335.47,265.45,0.03,33.66,18.3855,4405.48,0.25,0.00,0.19,0.06,15.70,1.125,1.266,0.218,3.297,2,4410
JP,2019,12.24,17.53,6.91,2.40,2.54,2.23,1424.63,1187.93,0.21,32.85,19.8095,40063.49,8.36,0.29,1.63,1.35,0,11.867,3.037,8.328,83.805,3,41580
KE,2019,11.01,18.05,5.31,2.60,2.43,2.76,99.82,72.85,16.19,40.78,27.9793,1816.52,1.68,0.04,0.81,0.81,36.10,0.184,0,0,0,1,1750
KG,2019,8.28,13.49,3.54,6.72,5.48,8.70,197.31,162.40,0.25,29.70,14.8938,1317.77,4.02,0.23,3.35,0.43,20.10,1.688,0.409,0,7.365,1,1240
KH,2019,5.49,8.38,3.05,0.13,0.10,0.16,0,0,0,0,0,1643.64,4.56,0.03,0.41,4.12,17.70,0.387,7.089,0,0.277,1,1530
KI,2019,30.56,53.56,9.45,0,0,0,154.89,124.10,4.35,36.97,23.3689,1656.94,0.43,0.00,0.17,0.26,21.80,0,0,0.890,2.669,1,3340
KM,2019,8.46,11.33,5.82,7.70,6.29,10.02,170.90,116.77,9.68,45.33,36.4196,1370.15,0.18,0.07,0.07,0.04,42.40,0.129,0.643,0,0.386,1,1400
KP,2019,8.20,10.65,6.27,2.62,2.97,2.23,0,0,0,0,0,639.56,3.61,0.00,3.48,0.12,0,0,0,0,0,3,0
KR,2019,21.16,29.68,13.43,3.75,3.87,3.58,1304.29,1135.60,0.05,31.40,17.5727,32143.09,7.74,0.15,0.22,1.72,0,5.793,1.591,8.404,13.662,3,32730
KW,2019,2.66,3.83,0.74,2.41,1.16,6.14,0,0,0,0,0,31999.27,0.00,0.00,0.00,0.00,0,0,0,0,0,3,36290
KZ,2019,18.05,30.88,6.94,4.80,4.32,5.32,383.52,321.52,0.00,27.79,12.4334,9792.63,3.73,0.16,1.05,2.52,4.30,0,0,0,0,2,8820
LA,2019,5.98,8.63,3.45,0.62,0.68,0.56,159.73,116.53,2.19,38.80,24.7142,2625.39,8.15,0.07,4.46,3.62,18.30,0,0,0,0,1,2490
LB,2019,2.76,3.87,1.67,6.04,4.84,9.77,757.62,642.71,0.00,31.83,16.9794,7784.32,1.14,0.21,0.53,0.38,27.40,1.213,3.298,1.333,3.145,2,7420
LC,2019,6.85,12.51,1.47,15.59,14.09,17.18,578.87,376.60,3.21,51.23,53.8709,11611.42,9.30,0.40,5.10,3.21,0,0.564,0,0.564,50.788,3,0
LK,2019,12.89,20.94,6.10,4.27,2.95,6.87,258.44,187.70,0.13,39.35,25.5549,3939.68,2.58,0.01,2.32,0.22,4.10,0.517,0.246,0.285,3.278,1,4010
LR,2019,7.37,9.40,5.50,2.89,3.54,2.17,78.82,62.83,19.75,35.27,20.6166,523.00,3.12,0.44,2.28,0.38,50.90,0.044,0,1.400,6.401,0,580
LS,2019,87.48,146.90,34.56,23.86,20.31,28.13,140.10,97.68,13.41,44.88,35.4801,1157.54,3.56,0.44,0.31,1.98,49.70,0,0,0,0,1,1290
LT,2019,20.15,36.06,6.18,6.26,7.03,5.50,937.79,753.85,0.29,35.71,23.9708,19795.22,11.93,0.88,4.96,4.61,20.60,18.452,15.860,0,49.763,3,19020
